Format Version,1.24,Take Name,take_006,Take Notes,,Capture Frame Rate,20.000000,Export Frame Rate,20.000000,Capture Start Time,2025-01-21 10.09.47.521 ,Capture Start Frame,40254,Total Frames in Take,15053,Total Exported Frames,15053,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,base,base,base,base,base,base,chaser,chaser,chaser,chaser,chaser,chaser
,ID,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.108920,-0.064600,0.423353,4489.467773,731.834229,1989.950317,-0.061563,0.481455,0.174495,3796.316406,1262.833496,2211.428955
1,0.050000,0.107956,-0.062071,0.424102,4489.464355,731.829834,1989.950562,-0.066841,0.477384,0.176413,3796.309570,1262.835205,2211.424561
2,0.100000,0.107000,-0.063960,0.424132,4489.459961,731.828796,1989.949829,-0.062039,0.482309,0.172614,3796.315430,1262.833618,2211.431885
3,0.150000,0.110702,-0.062894,0.422641,4489.465332,731.833923,1989.955811,-0.063078,0.480068,0.170427,3796.311768,1262.845215,2211.433838
4,0.200000,0.110790,-0.062893,0.418254,4489.466309,731.831421,1989.949829,-0.059635,0.476561,0.169570,3796.301270,1262.849487,2211.406982
5,0.250000,0.108597,-0.063183,0.417542,4489.468750,731.827576,1989.949341,-0.062469,0.482062,0.172681,3796.312500,1262.843628,2211.435303
6,0.300000,0.109724,-0.062813,0.421253,4489.464844,731.831421,1989.949219,-0.058909,0.475548,0.173938,3796.304199,1262.828857,2211.407959
7,0.350000,0.107875,-0.062793,0.418555,4489.459473,731.835449,1989.941284,-0.056491,0.482778,0.172389,3796.315430,1262.823975,2211.434570
8,0.400000,0.110439,-0.064116,0.418983,4489.470215,731.836548,1989.952637,-0.060764,0.481869,0.177331,3796.322510,1262.822876,2211.428223
9,0.450000,0.108832,-0.064174,0.420169,4489.471680,731.831848,1989.949829,-0.067070,0.482841,0.176049,3796.321777,1262.836914,2211.442383
10,0.500000,0.109961,-0.065275,0.419683,4489.468262,731.832214,1989.954102,-0.067658,0.483546,0.178955,3796.327148,1262.823975,2211.446289
11,0.550000,0.108502,-0.063238,0.418409,4489.463379,731.825745,1989.950806,-0.063640,0.482357,0.178043,3796.325928,1262.816895,2211.435547
12,0.600000,0.108875,-0.066210,0.424146,4489.468750,731.839233,1989.951050,-0.065188,0.482985,0.175151,3796.323975,1262.836548,2211.434082
13,0.650000,0.109881,-0.064976,0.423519,4489.467285,731.838623,1989.949707,-0.064169,0.482676,0.172311,3796.318359,1262.845703,2211.440674
14,0.700000,0.110009,-0.066638,0.421329,4489.465820,731.837708,1989.952881,-0.070552,0.481900,0.181396,3796.326904,1262.829224,2211.448242
15,0.750000,0.104866,-0.061048,0.417628,4489.458984,731.821228,1989.949097,-0.065662,0.483145,0.173553,3796.320068,1262.836914,2211.438721
16,0.800000,0.108286,-0.065208,0.418587,4489.471680,731.833801,1989.955078,-0.058240,0.483928,0.170329,3796.319580,1262.834595,2211.426270
